stakingProvider,amount,amountDeauthorizing,relativeAmount,endDeauth,endCommitment,commitment,minDeauthDate
0xb2e1515dfe9bde106299c33529c582e5388d195d,1167111,0,0.0488,,,No,2025-07-31 14:07:14
0x8b823356ec7f90d0fe45122125f66ddb934b840f,1131161,0,0.0473,,,No,2025-07-31 14:07:14
0x70a2ce2d0b66061b44fef41d3ecf89b5a9e7522a,1026811,1026811,0.043,2025-03-30 03:59:11,,No,2025-03-30 03:59:11
0x227ae73b95f8377e4e37a8bc7ae7ddff303c30b4,950000,0,0.0398,,,No,2025-07-31 14:07:14
0xb98a82ab97171504bf9ea0ac62a3f34bffe5f510,933000,600000,0.039,,2024-04-14 21:56:47,Expired,2025-07-31 14:07:14
0xba03e5e2fd41092c36354435fefae25a322aa838,910784,0,0.0381,,2025-01-13 15:32:11,Expired,2025-07-31 14:07:14
0xe6b636575de648cea5e217ad26e32c01534e7ae4,891442,891442,0.0373,2025-03-31 16:56:59,,No,2025-03-31 16:56:59
0xaa0f47938c5534bb1fe30e9d61dc0ffdd18c171b,873838,0,0.0366,,,No,2025-07-31 14:07:14
0x1789e4f3d6ede534c830e9cb2709a45fd3636791,850561,850561,0.0356,2024-11-13 01:13:59,,No,2024-11-13 01:13:59
0x2215a197a32834ef93c4d1029551bb8d3b924dcc,829645,0,0.0347,,,No,2025-07-31 14:07:14
0x8b223633cc2a26d48b04670ea2caf8655e76b14e,804184,0,0.0337,,,No,2025-07-31 14:07:14
0xd7c6dcfc25ff4e0c76d7753db848e38f90e056e4,801609,0,0.0335,,2025-07-14 15:44:11,Active,2026-01-12 15:44:11
0x50740becee506cdc0567fd4b3ea04249fb8c8676,777133,777133,0.0325,2025-05-14 00:00:23,,No,2025-05-14 00:00:23
0x5270ba998643be976c106298c08c46947c5bf774,717000,0,0.03,,,No,2025-07-31 14:07:14
0x941788b051703bbc79962822460a2b571cffcd7d,703500,0,0.0294,,,No,2025-07-31 14:07:14
0xc7b1bb9f98f7ae67336391a900402eb25c8fc0e7,700000,700000,0.0293,2024-07-25 00:08:47,,No,2024-07-25 00:08:47
0x456d643cd97b058fd3bbbeb76f04b1de3679bc6a,684363,0,0.0286,,2025-07-08 18:19:47,Active,2026-01-06 18:19:47
0x6a2829a6b7186c62e2b4c7bb6434e880daf2b4c4,560530,0,0.0235,,2024-04-14 21:14:47,Expired,2025-07-31 14:07:14
0x1d2dfce7f23669dcafaa376314fa0ae938c8641c,501212,501212,0.021,2025-04-13 03:06:23,,No,2025-04-13 03:06:23
0xcc5d4b816e34d9dccb898872f58317e8af110fc2,483102,0,0.0202,,,No,2025-07-31 14:07:14
0xb011b6794f271b1d8d2328edf332535343cb4d44,450118,250118,0.0188,,2025-01-12 22:51:35,Expired,2025-07-31 14:07:14
0x9b50ef882cd1c08c0ae07ec68f69013e94caa782,400000,400000,0.0167,2024-07-01 00:40:59,,No,2024-07-01 00:40:59
0x36efdc29c776c35b55d08e657bf3048edf65b1dd,358212,0,0.015,,2025-07-08 06:15:23,Active,2026-01-06 06:15:23
0xb8ee380fd71eaccb4948dd7cee5b6fcb822fc4fc,305707,0,0.0128,,2025-01-12 22:08:59,Expired,2025-07-31 14:07:14
0x675e051ab4d105d875eb761252576e02ad88e9d4,260382,0,0.0109,,,No,2025-07-31 14:07:14
0xf425a57ec73a25a3b1a08ea7f88a5c9e080c9ed4,254936,0,0.0107,,,No,2025-07-31 14:07:14
0xe58dfd1bc7f3ca2b694bdfdc1c6cac80179a7515,250000,0,0.0105,,,No,2025-07-31 14:07:14
0x913fc1644376da7e125cbb87a010e7dd3b34d67c,247554,0,0.0104,,2025-01-13 16:33:35,Expired,2025-07-31 14:07:14
0x72059c0ee489be670c397868f93e17fc4cbb10e7,177476,177476,0.0074,2025-06-08 11:41:11,,No,2025-06-08 11:41:11
0xc373956fefaff488103475f77a5190bfea9baf1d,142620,142620,0.006,2025-02-28 01:48:23,,No,2025-02-28 01:48:23
0x8ea9ab079eaca83f3ab9e1aa0d62a60a3fa8e163,139523,0,0.0058,,2025-01-13 20:03:47,Expired,2025-07-31 14:07:14
0x4cff511301c6859b074cf89d17ec23b8537a5576,135562,0,0.0057,,2025-07-12 00:26:35,Active,2026-01-10 00:26:35
0x0b76598e9ddd53237fa1632ddbfc8db1a2c7d897,129422,0,0.0054,,,No,2025-07-31 14:07:14
0xc8a6bfe0834fb99340a0df253d79b7cae25053b8,122482,0,0.0051,,,No,2025-07-31 14:07:14
0xb0151d256ee16d847f080691c3529f316b2d54b3,103313,103313,0.0043,2024-10-20 22:47:35,,No,2024-10-20 22:47:35
0x44e5472f15aaa10afefc4c9ec9e873a3aa092e45,102033,0,0.0043,,,No,2025-07-31 14:07:14
0x3070f20f86fda706ac380f5060d256028a46ec29,100712,0,0.0042,,2024-03-22 16:30:59,Expired,2025-07-31 14:07:14
0xe8316911b0f9edd928d58b63ff619888077ad713,52956,0,0.0022,,,No,2025-07-31 14:07:14
0xbe994cf43f52fd73fe45ced29f06d1b08bd1709a,50228,50228,0.0021,2025-05-14 14:56:47,,No,2025-05-14 14:56:47
0xf38d178cd7e0bc346dd1cec1c5e21ee214dd891d,50132,50132,0.0021,2025-02-13 00:51:11,2024-03-27 08:05:47,Expired,2025-02-13 00:51:11
0x4bc6b29f272048b32bd833797a70049c3885225b,49965,0,0.0021,,,No,2025-07-31 14:07:14
0x87828b06b60c1dc33b31aee2a1b825c6b6fbb70b,49400,49400,0.0021,2025-06-28 00:37:11,,No,2025-06-28 00:37:11
0xb0b975ac6a2a8c8d6829880be6a9f2b209311827,45000,0,0.0019,,,No,2025-07-31 14:07:14
0xd8c27199708ddc919aa40d0803d530d6dfafcbcf,44417,44417,0.0019,2025-07-17 09:53:35,,No,2025-07-17 09:53:35
0x500a4689455c6bb01e1140fe3f85ae683503851e,42000,42000,0.0018,2025-07-29 10:05:23,,No,2025-07-29 10:05:23
0xf3feafa241ebf6781057de4406ed486fa91b1585,40557,40557,0.0017,2025-02-22 18:16:59,,No,2025-02-22 18:16:59
0x8a490f3b460c7d6d29f850b403cfd9eea4d819d5,40165,0,0.0017,,,No,2025-07-31 14:07:14
0x0ff1b589fe2113c72da3fe0402e1c284359fff89,40051,40051,0.0017,2025-04-04 17:21:47,,No,2025-04-04 17:21:47
