stakingProvider,amount,relativeAmount,minDeauthDate,commitment,ritual34?,ritual40?
0x700277deaf138c6af9b3177f83918b6a3544f27f,2937281,0.0012,2025-07-31 16:09:56,No,True,True
0x0f35c836864875c8e9392da147f41300ab538091,2651188,0.0011,2025-12-17 04:57:35,Active,False,True
0x047ad25d36c207e2c7ddedae5b481acf46841201,2410761,0.001,2025-05-26 04:39:35,No,False,False
0xb70aa6a5e459bec8f56a36727b97b1d4277437f7,2298018,0.001,2025-12-19 11:37:47,Active,False,False
0x9c7c2b00ea7800fbe32fd50d844645db07c27a74,2123018,0.0009,2026-01-06 04:40:47,Active,False,False
0xc24cacfae6e5d0177e294a89486afddf2144f20f,2000000,0.0008,2024-12-04 07:17:23,No,False,False
0x956a3999f4b9f9e4e46b96418121d4871082552a,1969285,0.0008,2025-07-31 16:09:56,No,False,False
0x378c89b5b93667a005856822e1b65e2d7c076373,1693454,0.0007,2025-07-31 16:09:56,Expired,False,True
0x9709173ed6f194a953a77204359dbfd0e88a54d0,1676246,0.0007,2025-07-31 16:09:56,No,False,True
0xece5148dc2ec7031c2171959bad71e9a3bb06df5,1647064,0.0007,2025-12-18 06:26:59,Active,True,True
0xa2e44666bab3ed3be4f87b7c18ed2ffb911c0bef,1408443,0.0006,2025-07-31 16:09:56,No,False,False
0x708eccc3d3ad8ecc5b2bc018303ced4de44b8377,1400000,0.0006,2025-07-31 16:09:56,No,False,False
0x05015cc23df7a1b8d459517088e00baec5fbc373,1397232,0.0006,2025-07-31 16:09:56,No,False,False
0x492af9a0b99fed66dce727bb96ad133db83cdaf6,1348383,0.0006,2025-07-31 16:09:56,No,False,False
0xe29dcd83466ddc28ca23da41ac44e63512071265,1307557,0.0005,2024-12-17 23:27:23,No,False,False
0xe3b1c5653d520e8e8c60fe76dbc61f0e2259a376,1239304,0.0005,2025-12-20 02:40:59,Active,False,False
0xb2e1515dfe9bde106299c33529c582e5388d195d,1167111,0.0005,2025-07-31 16:09:56,No,False,False
0x8b823356ec7f90d0fe45122125f66ddb934b840f,1131161,0.0005,2025-07-31 16:09:56,No,False,True
0x70a2ce2d0b66061b44fef41d3ecf89b5a9e7522a,1026811,0.0004,2025-03-30 03:59:11,No,False,False
0x227ae73b95f8377e4e37a8bc7ae7ddff303c30b4,950000,0.0004,2025-07-31 16:09:56,No,False,True
0xb98a82ab97171504bf9ea0ac62a3f34bffe5f510,933000,0.0004,2025-07-31 16:09:56,Expired,True,False
0xba03e5e2fd41092c36354435fefae25a322aa838,910784,0.0004,2025-07-31 16:09:56,Expired,False,True
0xe6b636575de648cea5e217ad26e32c01534e7ae4,891442,0.0004,2025-03-31 16:56:59,No,False,False
0xaa0f47938c5534bb1fe30e9d61dc0ffdd18c171b,873838,0.0004,2025-07-31 16:09:56,No,False,False
0x1789e4f3d6ede534c830e9cb2709a45fd3636791,850561,0.0004,2024-11-13 01:13:59,No,False,False
0x2215a197a32834ef93c4d1029551bb8d3b924dcc,829645,0.0003,2025-07-31 16:09:56,No,False,False
0x8b223633cc2a26d48b04670ea2caf8655e76b14e,804184,0.0003,2025-07-31 16:09:56,No,False,False
0xd7c6dcfc25ff4e0c76d7753db848e38f90e056e4,801609,0.0003,2026-01-12 15:44:11,Active,False,False
0x50740becee506cdc0567fd4b3ea04249fb8c8676,777133,0.0003,2025-05-14 00:00:23,No,False,False
0x5270ba998643be976c106298c08c46947c5bf774,717000,0.0003,2025-07-31 16:09:56,No,False,False
0x941788b051703bbc79962822460a2b571cffcd7d,703500,0.0003,2025-07-31 16:09:56,No,True,False
0xc7b1bb9f98f7ae67336391a900402eb25c8fc0e7,700000,0.0003,2024-07-25 00:08:47,No,False,False
0x456d643cd97b058fd3bbbeb76f04b1de3679bc6a,684363,0.0003,2026-01-06 18:19:47,Active,False,True
0x6a2829a6b7186c62e2b4c7bb6434e880daf2b4c4,560530,0.0002,2025-07-31 16:09:56,Expired,True,False
0x1d2dfce7f23669dcafaa376314fa0ae938c8641c,501212,0.0002,2025-04-13 03:06:23,No,False,False
0xcc5d4b816e34d9dccb898872f58317e8af110fc2,483102,0.0002,2025-07-31 16:09:56,No,True,True
0xb011b6794f271b1d8d2328edf332535343cb4d44,450118,0.0002,2025-07-31 16:09:56,Expired,False,False
0x9b50ef882cd1c08c0ae07ec68f69013e94caa782,400000,0.0002,2024-07-01 00:40:59,No,False,False
0x36efdc29c776c35b55d08e657bf3048edf65b1dd,358212,0.0001,2026-01-06 06:15:23,Active,False,False
0xb8ee380fd71eaccb4948dd7cee5b6fcb822fc4fc,305707,0.0001,2025-07-31 16:09:56,Expired,True,True
0x675e051ab4d105d875eb761252576e02ad88e9d4,260382,0.0001,2025-07-31 16:09:56,No,False,False
0xf425a57ec73a25a3b1a08ea7f88a5c9e080c9ed4,254936,0.0001,2025-07-31 16:09:56,No,False,False
0xe58dfd1bc7f3ca2b694bdfdc1c6cac80179a7515,250000,0.0001,2025-07-31 16:09:56,No,True,False
0x913fc1644376da7e125cbb87a010e7dd3b34d67c,247554,0.0001,2025-07-31 16:09:56,Expired,False,True
0x72059c0ee489be670c397868f93e17fc4cbb10e7,177476,0.0001,2025-06-08 11:41:11,No,False,False
